"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Ceará","2015",27.1181822979089,32.4295460816586,21.8553034320022,44.2909099005276,0,201.199996948242,0.100000001490116,132,81,0.613636363636364
"Ceará","2016",27.313636823134,32.6250006502325,22.0507579572273,40.5439402532736,0,216.600006103516,0,132,83,0.628787878787879
"Ceará","2017",26.9295459660617,32.2409095475168,21.6666670712558,49.7401525949438,0,218.900009155273,0.400000005960464,132,81,0.613636363636364
"Distrito Federal","1991",22.6416668891907,28.1333335240682,17.1833337942759,130.500000069539,1566.00000083447,367.899993896484,0,12,5,0.416666666666667
"Distrito Federal","1992",22.5250002543132,28.0250002543132,17.0583336353302,158.200004736582,1898.40005683899,361.700012207031,0,12,4,0.333333333333333
"Distrito Federal","1993",22.8416670163472,28.3416668574015,17.3750003973643,104.100000540415,1249.20000648499,356.399993896484,0,12,3,0.25
"Distrito Federal","1994",22.8750001589457,28.3750001589457,17.4083336989085,117.02500196298,1404.30002355576,290.899993896484,0,12,5,0.416666666666667
"Distrito Federal","1995",23.225000222524,28.7250005404154,17.7583336830139,122.466668561101,1469.60002273321,324.600006103516,0,12,4,0.333333333333333
"Distrito Federal","1996",22.9583339691162,28.4583338101705,17.4916667938232,113.59166867286,1363.10002407432,274.100006103516,0.400000005960464,12,5,0.416666666666667
"Distrito Federal","1997",23.116666952769,28.6166671117147,17.6500002543132,121.583334843318,1459.00001811981,326.300018310547,0,12,3,0.25
"Distrito Federal","1998",23.7833337783813,29.2833336194356,18.3250003655752,109.458334763845,1313.50001716614,249.600006103516,0.600000023841858,12,5,0.416666666666667
"Distrito Federal","1999",23.2333335876465,28.7333337465922,17.7666670481364,109.050003627936,1308.60004353523,285.800018310547,0,12,4,0.333333333333333
"Distrito Federal","2000",23.0333337783813,28.5333337783813,17.5666670799255,123.741669436296,1484.90003323555,271.100006103516,0,12,4,0.333333333333333
"Distrito Federal","2001",23.2583338419596,28.7500001589457,17.8083337942759,112.10000081857,1345.20000982285,241.600006103516,3.40000009536743,12,3,0.25
"Distrito Federal","2002",23.866666952769,29.3583339055379,18.4083339373271,117.40000140667,1408.80001688004,380.100006103516,0,12,4,0.333333333333333
"Distrito Federal","2003",23.5166673660278,29.0166668891907,18.050000111262,109.550000508626,1314.60000610352,270,0,12,5,0.416666666666667
"Distrito Federal","2004",23.2750002543132,28.7333339055379,17.8500003814697,132.366669158141,1588.40002989769,390.600006103516,0,12,5,0.416666666666667
"Distrito Federal","2005",23.6416670481364,29.1416668891907,18.1750003496806,149.450002332528,1793.40002799034,466.700012207031,0,12,5,0.416666666666667
"Distrito Federal","2006",23.3750001589457,28.8750003178914,17.9083336194356,126.716668352485,1520.60002022982,306.399993896484,0,12,4,0.333333333333333
"Distrito Federal","2007",23.8500005404154,29.3500000635783,18.3833334445953,89.4416673282782,1073.30000793934,279.899993896484,0,12,6,0.5
"Distrito Federal","2008",23.3166667620341,28.8166672388713,17.8500001430511,133.750002086163,1605.00002503395,352.600006103516,0,12,4,0.333333333333333
"Distrito Federal","2009",23.3833333651225,28.8833336830139,17.9166673024495,131.450000400345,1577.40000480413,375,0.900000035762787,12,4,0.333333333333333
"Distrito Federal","2010",23.7333339055379,29.2333339055379,18.2666671276093,116.675001899401,1400.10002279282,362.600006103516,0,12,5,0.416666666666667
