region,year,avgtmp,tmax,tmin,avgprecip,totalprecip,pmax,pmin,total,drought,drought_percent,UF,,,,
Ceara,1997,26.58787909,31.89924299,21.32500039,53.39318282,0,265.3000183,0,132,79,0.598484848,CE,,,,
Ceara,1998,27.31060644,32.62197026,22.0477277,47.19166759,0,237.6000061,0.200000003,132,73,0.553030303,CE,,,,
Ceara,1999,26.60454584,31.91590978,21.34166706,57.79242541,0,241.5,0.400000006,132,67,0.507575758,CE,,,,
Ceara,2000,26.32878819,31.64015198,21.06590944,59.86818293,0,223.6000061,0.200000003,132,74,0.560606061,CE,,,,
Ceara,2001,26.62197013,31.93333397,21.3590913,55.9000009,0,236.9000092,0.200000003,132,69,0.522727273,CE,,,,
Ceara,2002,26.62727313,31.93863694,21.36439425,63.03939526,0,388.8999939,0.100000001,132,75,0.568181818,CE,,,,
Ceara,2003,26.86590942,32.17727329,21.60303074,59.3780313,0,252.1999969,0.200000003,132,73,0.553030303,CE,,,,
Ceara,2004,26.52121248,31.83257639,21.25833364,75.05681909,0,423.1000061,0.100000001,132,68,0.515151515,CE,,,,
Ceara,2005,27.08030339,32.39166724,21.81742466,52.80151577,0,252.3000031,0,132,69,0.522727273,CE,,,,
Ceara,2006,26.71590941,32.02727331,21.4530307,62.01666771,0,278.7000122,0.400000006,132,76,0.575757576,CE,,,,
Ceara,2007,26.77197001,32.0833339,21.5090912,52.64166765,0,366.8999939,0,132,85,0.643939394,CE,,,,
Ceara,2008,26.59697017,31.90833394,21.33409132,78.7810616,0,496.3999939,0.100000001,132,72,0.545454545,CE,,,,
Ceara,2009,26.58939422,31.90075808,21.32651562,79.99242566,0,344,0.100000001,132,62,0.46969697,CE,,,,
Ceara,2010,27.15000041,32.46136437,21.88712155,53.57348557,0,195.6999969,0,132,69,0.522727273,CE,,,,
Ceara,2011,26.40909133,31.72045507,21.14621264,71.87954669,0,337.7000122,0.100000001,132,71,0.537878788,CE,,,,
Ceara,2012,26.93787917,32.24924298,21.67500041,31.39166738,0,163.8000031,0,132,100,0.757575758,CE,,,,
Ceara,2013,27.01136404,32.32272793,21.74848525,40.63863704,0,145.1000061,0.100000001,132,75,0.568181818,CE,,,,
Ceara,2014,26.69924288,32.01060651,21.43636404,60.34545537,0,357.8999939,0.400000006,132,74,0.560606061,CE,,,,
Ceara,2015,27.1181823,32.42954608,21.85530343,44.2909099,0,201.1999969,0.100000001,132,81,0.613636364,CE,,,,
Ceara,2016,27.31363682,32.62500065,22.05075796,40.54394025,0,216.6000061,0,132,83,0.628787879,CE,,,,
Ceara,2017,26.92954597,32.24090955,21.66666707,49.74015259,0,218.9000092,0.400000006,132,81,0.613636364,CE,,,,
Distrito Federal,1991,22.64166689,28.13333352,17.18333379,130.5000001,1566.000001,367.8999939,0,12,5,0.416666667,DF,,,,
Distrito Federal,1992,22.52500025,28.02500025,17.05833364,158.2000047,1898.400057,361.7000122,0,12,4,0.333333333,DF,,,,
Distrito Federal,1993,22.84166702,28.34166686,17.3750004,104.1000005,1249.200006,356.3999939,0,12,3,0.25,DF,,,,
Distrito Federal,1994,22.87500016,28.37500016,17.4083337,117.025002,1404.300024,290.8999939,0,12,5,0.416666667,DF,,,,
Distrito Federal,1995,23.22500022,28.72500054,17.75833368,122.4666686,1469.600023,324.6000061,0,12,4,0.333333333,DF,,,,
Distrito Federal,1996,22.95833397,28.45833381,17.49166679,113.5916687,1363.100024,274.1000061,0.400000006,12,5,0.416666667,DF,,,,
Distrito Federal,1997,23.11666695,28.61666711,17.65000025,121.5833348,1459.000018,326.3000183,0,12,3,0.25,DF,,,,
Distrito Federal,1998,23.78333378,29.28333362,18.32500037,109.4583348,1313.500017,249.6000061,0.600000024,12,5,0.416666667,DF,,,,
Distrito Federal,1999,23.23333359,28.73333375,17.76666705,109.0500036,1308.600044,285.8000183,0,12,4,0.333333333,DF,,,,
Distrito Federal,2000,23.03333378,28.53333378,17.56666708,123.7416694,1484.900033,271.1000061,0,12,4,0.333333333,DF,,,,
